price,bedrooms,beds,cleaning_fee,guests_included,maximum_nights,minimum_nights,property_type,room_type,review_scores,street,country,country_code,availability_30,availability_60,availability_90,availability_365,latitude,longitude
65,2,2,35,1,1125,2,Apartment,Private room,97,"Barcelona, Catalunya, Spain",Spain,ES,21,36,60,333,41.38005,2.15395
348,2,3,50,1,1125,1,Apartment,Entire home/apt,94,"TR, Turkey",Turkey,TR,2,32,62,336,40.87794,29.06648
188,1,1,0,1,365,1,Apartment,Private room,92,"Sai Kung District, New Territories, Hong Kong",Hong Kong,HK,0,0,0,92,22.31752,114.25746
90,1,1,60,1,15,3,Apartment,Private room,100,"Şişli, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.04902,28.98352
130,4,5,30,1,32,32,Apartment,Entire home/apt,80,"Barcelona, Catalunya, Spain",Spain,ES,0,0,0,100,41.39193,2.15255
100,1,1,0,1,30,4,Apartment,Entire home/apt,97,"New York, NY, United States",United States,US,0,0,0,0,40.7113,-73.99442
125,1,1,55,3,30,2,Condominium,Entire home/apt,97,"Brooklyn, NY, United States",United States,US,0,0,0,0,40.71353,-73.96216
125,2,3,0,1,1125,1,Apartment,Entire home/apt,88,"New York, NY, United States",United States,US,0,0,0,0,40.73598,-73.98161
31,1,1,0,1,1125,1,Apartment,Private room,86,"Barcelona, Catalunya, Spain",Spain,ES,28,58,83,358,41.42112,2.20085
353,1,1,0,1,1125,1,Apartment,Private room,0,"Hong Kong, Hong Kong, Hong Kong",Hong Kong,HK,0,0,0,0,22.27681,114.18233
506,1,1,0,1,1125,1,Apartment,Private room,0,"Fatih, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.00404,28.98018
306,2,5,160,5,30,4,Apartment,Entire home/apt,100,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,7,11,11,12,-22.9858162,-43.19229749
400,2,3,270,4,1123,7,Condominium,Entire home/apt,97,"Wailuku, HI, United States",United States,US,1,3,15,142,20.79664,-156.5039
350,2,4,155,5,1125,2,Apartment,Entire home/apt,92,"New York, NY, United States",United States,US,2,5,27,115,40.75482,-73.96776
234,1,1,141,2,1125,1,Apartment,Private room,100,"Koloa, HI, United States",United States,US,1,7,23,291,21.88234,-159.47554
298,1,1,240,1,1125,60,Apartment,Entire home/apt,100,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,0,0,0,42,22.31915,114.16984
793,1,1,0,1,1125,3,Apartment,Entire home/apt,0,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,0,0,0,0,22.28352,114.15076
135,1,1,150,3,365,2,Apartment,Entire home/apt,96,"Honolulu, HI, United States",United States,US,4,6,15,182,21.28572,-157.83857
903,2,2,0,3,1125,4,Apartment,Entire home/apt,90,"HK, Hong Kong Island, Hong Kong",Hong Kong,HK,0,0,0,0,22.28737,114.14238
461,2,2,0,2,365,2,Apartment,Entire home/apt,99,"Woollahra, NSW, Australia",Australia,AU,0,0,0,157,-33.88944,151.23526
239,1,1,193,1,1125,4,Condominium,Entire home/apt,0,"Kihei, HI, United States",United States,US,13,20,42,257,20.78484,-156.46697
79,1,1,100,2,1125,30,Loft,Entire home/apt,93,"New York, NY, United States",United States,US,3,3,16,16,40.78898,-73.97589
